x,y,hue
1,1.000000,bind-9.11.3
2,2.000000,bind-9.11.3
3,3.000000,bind-9.11.3
4,4.000000,bind-9.11.3
5,5.000000,bind-9.11.3
6,6.000000,bind-9.11.3
7,7.000000,bind-9.11.3
8,8.000000,bind-9.11.3
9,9.000000,bind-9.11.3
10,10.000000,bind-9.11.3
1,10.000000,unbound-1.10.0
2,20.000000,unbound-1.10.0
3,30.000000,unbound-1.10.0
4,40.000000,unbound-1.10.0
5,50.000000,unbound-1.10.0
6,60.000000,unbound-1.10.0
7,70.000000,unbound-1.10.0
8,80.000000,unbound-1.10.0
9,90.000000,unbound-1.10.0
10,100.000000,unbound-1.10.0
1,12.000000,unbound-1.16.0
2,24.000000,unbound-1.16.0
3,36.000000,unbound-1.16.0
4,36.000000,unbound-1.16.0
5,36.000000,unbound-1.16.0
6,38.000000,unbound-1.16.0
7,36.000000,unbound-1.16.0
8,37.000000,unbound-1.16.0
9,36.000000,unbound-1.16.0
10,36.000000,unbound-1.16.0
1,6.000000,powerDNS-4.7.3
2,12.000000,powerDNS-4.7.3
3,18.000000,powerDNS-4.7.3
4,24.000000,powerDNS-4.7.3
5,30.000000,powerDNS-4.7.3
6,36.000000,powerDNS-4.7.3
7,42.000000,powerDNS-4.7.3
8,48.000000,powerDNS-4.7.3
9,52.000000,powerDNS-4.7.3
10,52.000000,powerDNS-4.7.3
