x,y,hue
1,2.000000,bind-9.11.3
2,4.000000,bind-9.11.3
3,6.000000,bind-9.11.3
4,8.000000,bind-9.11.3
5,9.000000,bind-9.11.3
6,9.000000,bind-9.11.3
7,11.000000,bind-9.11.3
8,12.000000,bind-9.11.3
9,12.000000,bind-9.11.3
10,13.000000,bind-9.11.3
1,36.000000,unbound-1.10.0
2,72.000000,unbound-1.10.0
3,108.000000,unbound-1.10.0
4,144.000000,unbound-1.10.0
5,180.000000,unbound-1.10.0
6,216.000000,unbound-1.10.0
7,252.000000,unbound-1.10.0
8,288.000000,unbound-1.10.0
9,324.000000,unbound-1.10.0
10,360.000000,unbound-1.10.0
1,48.000000,unbound-1.16.0
2,96.000000,unbound-1.16.0
3,144.000000,unbound-1.16.0
4,144.000000,unbound-1.16.0
5,144.000000,unbound-1.16.0
6,144.000000,unbound-1.16.0
7,144.000000,unbound-1.16.0
8,144.000000,unbound-1.16.0
9,144.000000,unbound-1.16.0
10,146.000000,unbound-1.16.0
1,22.000000,powerDNS-4.7.3
2,44.000000,powerDNS-4.7.3
3,66.000000,powerDNS-4.7.3
4,88.000000,powerDNS-4.7.3
5,95.000000,powerDNS-4.7.3
6,95.000000,powerDNS-4.7.3
7,95.000000,powerDNS-4.7.3
8,95.000000,powerDNS-4.7.3
9,95.000000,powerDNS-4.7.3
10,95.000000,powerDNS-4.7.3
